node,child
1840,4129
1840,4130
1840,4131
1840,4311
1840,1037
1840,1424
1840,768
1840,18
1840,3909
1840,3910
1840,3911
1840,3912
1840,3913
1840,1429
1840,3914
1840,1428
1840,3225
1840,2833
1840,2526
1840,3453
1840,2414
1840,1352
1840,1070
1840,3824
1840,1012
1840,3890
1840,2416
1840,3825
1840,3826
1840,4023
1840,2344
1840,2155
1840,4054
1840,4055
1840,1324
1840,2157
1840,775
1840,3828
1840,2041
1840,3573
1840,3057
1840,593
1840,592
1840,591
1840,590
1840,589
1840,588
1840,587
1840,586
1840,584
1840,585
1840,3572
1840,1321
1840,158
1840,288
1840,1391
1840,1614
1840,4063
1840,4062
1840,3868
4017,4016
4017,1423
4017,1425
4017,2156
1174,430
1174,3823
1174,704
1174,2115
1174,4067
1174,1586
1174,1547
1174,1241
1174,1636
1174,951
1174,2007
1174,1898
1174,3144
1174,159
1174,197
1174,240
1174,3394
1174,2325
1174,2413
1174,4121
1174,3817
1174,4125
1174,4126
1174,4127
1174,4122
1174,4123
1174,4124
1174,4128
1174,4129
1174,4130
1174,4131
1174,4311
1174,1037
1174,1424
1174,768
1174,18
1174,3909
1174,3910
1174,3911
1174,3912
1174,3913
1174,1429
1174,3914
1174,1428
1174,3225
1174,2833
1174,2526
1174,3453
1174,2414
1174,1352
1174,1070
1174,3824
1174,1012
1174,3890
1174,2416
1174,3825
1174,3826
1174,4023
1174,2344
1174,2155
1174,4054
1174,4055
1174,1324
1174,2157
1174,775
1174,3828
1174,2041
1174,3573
1174,3057
1174,593
1174,592
1174,591
1174,590
1174,589
1174,588
1174,587
1174,586
1174,584
1174,585
1174,3572
1174,1321
1174,158
1174,288
1174,1391
1174,1614
1174,4063
1174,4062
1174,3868
430,1840
430,3823
430,704
430,2115
430,4067
430,1586
430,1547
430,1241
430,1636
430,951
430,2007
430,1898
430,3144
430,159
430,197
430,240
430,3394
430,2325
430,2413
430,4121
430,3817
430,4125
430,4126
430,4127
430,4122
430,4123
430,4124
430,4128
430,4129
430,4130
430,4131
430,4311
430,1037
430,1424
430,768
430,18
430,3909
430,3910
430,3911
430,3912
430,3913
430,1429
430,3914
430,1428
430,3225
430,2833
430,2526
430,3453
430,2414
430,1352
430,1070
430,3824
430,1012
430,3890
430,2416
430,3825
430,3826
430,4023
430,2344
430,2155
430,4054
430,4055
430,1324
430,2157
430,775
430,3828
430,2041
430,3573
430,3057
430,593
430,592
430,591
430,590
430,589
430,588
430,587
430,586
430,584
430,585
430,3572
430,1321
430,158
430,288
430,1391
430,1614
430,4063
430,4062
430,3868
3823,1840
3823,1174
3823,430
3823,704
3823,2115
3823,4067
3823,1586
3823,1547
3823,1241
3823,1636
3823,951
3823,2007
3823,1898
3823,3144
3823,159
3823,197
3823,240
3823,3394
3823,2325
3823,2413
3823,4121
3823,3817
3823,4125
3823,4126
3823,4127
3823,4122
3823,4123
3823,4124
3823,4128
3823,4129
3823,4130
3823,4131
3823,4311
3823,1037
3823,1424
3823,768
3823,18
3823,3909
3823,3910
3823,3911
3823,3912
3823,3913
3823,1429
3823,3914
3823,1428
3823,3225
3823,2833
3823,2526
3823,3453
3823,2414
3823,1352
3823,1070
3823,3824
3823,1012
3823,3890
3823,2416
3823,3825
3823,3826
3823,4023
3823,2344
3823,2155
3823,4054
3823,4055
3823,1324
3823,2157
3823,775
3823,3828
3823,2041
3823,3573
3823,3057
3823,593
3823,592
3823,591
3823,590
3823,589
3823,588
3823,587
3823,586
3823,584
3823,585
3823,3572
3823,1321
3823,158
3823,288
3823,1391
3823,1614
3823,4063
3823,4062
3823,3868
704,1840
704,1174
704,430
704,3823
704,2115
704,4067
704,1586
704,1547
704,1241
704,1636
704,951
704,2007
704,1898
704,3144
704,159
704,197
704,240
704,3394
704,2325
704,2413
704,4121
704,3817
704,4125
704,4126
704,4127
704,4122
704,4123
704,4124
704,4128
704,4129
704,4130
704,4131
704,4311
704,1037
704,1424
704,768
704,18
704,3909
704,3910
704,3911
704,3912
704,3913
704,1429
704,3914
704,1428
704,3225
704,2833
704,2526
704,3453
704,2414
704,1070
704,3824
704,1012
704,3890
704,2416
704,3825
704,3826
704,4023
704,2344
704,2155
704,4054
704,4055
704,1324
704,2157
704,775
704,3828
704,2041
704,3573
704,3057
704,593
704,592
704,591
704,590
704,589
704,588
704,587
704,586
704,584
704,585
704,3572
704,1321
704,158
704,288
704,1391
704,1614
704,4063
704,4062
704,3868
2115,1840
2115,1174
2115,430
2115,3823
2115,704
2115,4067
2115,1586
2115,1547
2115,1241
2115,1636
2115,951
2115,2007
2115,1898
2115,3144
2115,159
2115,197
2115,240
2115,3394
2115,2325
2115,2413
2115,4121
2115,3817
2115,4125
2115,4126
2115,4127
2115,4122
2115,4123
2115,4124
2115,4128
2115,4129
2115,4130
2115,4131
2115,4311
2115,1037
2115,1424
2115,768
2115,18
2115,3909
2115,3910
2115,3911
2115,3912
2115,3913
2115,1429
2115,3914
2115,1428
2115,3225
2115,2833
2115,2526
2115,3453
2115,2414
2115,1352
2115,1070
2115,3824
2115,1012
2115,3890
2115,2416
2115,3825
2115,3826
2115,4023
2115,2344
2115,2155
2115,4054
2115,4055
2115,1324
2115,2157
2115,775
2115,3828
2115,2041
2115,3573
2115,3057
2115,593
2115,592
2115,591
2115,590
2115,589
2115,588
2115,587
2115,586
2115,584
2115,585
2115,3572
2115,1321
2115,158
2115,288
2115,1391
2115,1614
2115,4063
2115,4062
2115,3868
4067,1840
4067,1174
4067,430
4067,3823
4067,704
4067,2115
4067,1586
4067,1547
4067,1241
4067,1636
4067,951
4067,2007
4067,1898
4067,3144
4067,159
4067,197
4067,240
4067,3394
4067,2325
4067,2413
4067,4121
4067,3817
4067,4125
4067,4126
4067,4127
4067,4122
4067,4123
4067,4124
4067,4128
4067,4129
4067,4130
4067,4131
4067,4311
4067,1037
4067,1424
4067,768
4067,18
4067,3909
4067,3910
4067,3911
4067,3912
4067,3913
4067,1429
4067,3914
4067,1428
4067,3225
4067,2833
4067,2526
4067,3453
4067,2414
4067,1352
4067,1070
4067,3824
4067,1012
4067,3890
4067,2416
4067,3825
4067,3826
4067,4023
4067,2344
4067,2155
4067,4054
4067,4055
4067,1324
4067,2157
4067,775
4067,3828
4067,2041
4067,3573
4067,3057
4067,593
4067,592
4067,591
4067,590
4067,589
4067,588
4067,587
4067,586
4067,584
4067,585
4067,3572
4067,1321
4067,158
4067,288
4067,1391
4067,1614
4067,4063
4067,4062
4067,3868
2688,3453
1586,1840
1586,1174
1586,430
1586,3823
1586,704
1586,2115
1586,4067
1586,1547
1586,1241
1586,1636
1586,951
1586,2007
1586,1898
1586,3144
1586,159
1586,197
1586,240
1586,3394
1586,2325
1586,2413
1586,4121
1586,3817
1586,4125
1586,4126
1586,4127
1586,4122
1586,4123
1586,4124
1586,4128
1586,4129
1586,4130
1586,4131
1586,4311
1586,1037
1586,1424
1586,768
1586,18
1586,3909
1586,3910
1586,3911
1586,3912
1586,3913
1586,1429
1586,3914
1586,1428
1586,3225
1586,2833
1586,2526
1586,3453
1586,2414
1586,1352
1586,1070
1586,3824
1586,1012
1586,3890
1586,2416
1586,3825
1586,3826
1586,4023
1586,2344
1586,2155
1586,4054
1586,4055
1586,1324
1586,2157
1586,775
1586,3828
1586,2041
1586,3573
1586,3057
1586,593
1586,592
1586,591
1586,590
1586,589
1586,588
1586,587
1586,586
1586,584
1586,585
1586,3572
1586,1321
1586,158
1586,288
1586,1391
1586,1614
1586,4063
1586,4062
1586,3868
1547,1840
1547,1174
1547,430
1547,3823
1547,704
1547,2115
1547,4067
1547,1586
1547,1241
1547,1636
1547,951
1547,2007
1547,1898
1547,3144
1547,159
1547,197
1547,240
1547,3394
1547,2325
1547,2413
1547,4121
1547,3817
1547,4125
1547,4126
1547,4127
1547,4122
1547,4123
1547,4124
1547,4128
1547,4129
1547,4130
1547,4131
1547,4311
1547,1037
1547,1424
1547,768
1547,18
1547,3909
1547,3910
1547,3911
1547,3912
1547,3913
1547,1429
1547,3914
1547,1428
1547,3225
1547,2833
1547,2526
1547,3453
1547,2414
1547,1352
1547,1070
1547,3824
1547,1012
1547,3890
1547,2416
1547,3825
1547,3826
1547,4023
1547,2344
1547,2155
1547,4054
1547,4055
1547,1324
1547,2157
1547,775
1547,3828
1547,2041
1547,3573
1547,3057
1547,593
1547,592
1547,591
1547,590
1547,589
1547,588
1547,587
1547,586
1547,584
1547,585
1547,3572
1547,1321
1547,158
1547,288
1547,1391
1547,1614
1547,4063
1547,4062
1547,3868
4016,1423
4016,1425
4016,2156
1241,1840
1241,1174
1241,430
1241,3823
1241,2115
1241,4067
1241,1586
1241,1547
1241,1636
1241,951
1241,2007
1241,1898
1241,3144
1241,159
1241,197
1241,240
1241,3394
1241,2325
1241,2413
1241,4121
1241,3817
1241,4125
1241,4126
1241,4127
1241,4122
1241,4123
1241,4124
1241,4128
1241,4129
1241,4130
1241,4131
1241,4311
1241,1037
1241,1424
1241,768
1241,18
1241,3909
1241,3910
1241,3911
1241,3912
1241,3913
1241,1429
1241,3914
1241,1428
1241,3225
1241,2833
1241,2526
1241,3453
1241,2414
1241,1070
1241,3824
1241,1012
1241,3890
1241,2416
1241,3825
1241,3826
1241,4023
1241,2344
1241,2155
1241,4054
1241,4055
1241,1324
1241,2157
1241,775
1241,3828
1241,2041
1241,3573
1241,3057
1241,593
1241,592
1241,591
1241,590
1241,589
1241,588
1241,587
1241,586
1241,584
1241,585
1241,3572
1241,1321
1241,158
1241,288
1241,1391
1241,1614
1241,4063
1241,4062
1241,3868
1636,1840
1636,1174
1636,430
1636,3823
1636,704
1636,2115
1636,4067
1636,1586
1636,1547
1636,951
1636,2007
1636,1898
1636,3144
1636,159
1636,197
1636,240
1636,3394
1636,2325
1636,2413
1636,4121
1636,3817
1636,4125
1636,4126
1636,4127
1636,4122
1636,4123
1636,4124
1636,4128
1636,4129
1636,4130
1636,4131
1636,4311
1636,1037
1636,1424
1636,768
1636,18
1636,3909
1636,3910
1636,3911
1636,3912
1636,3913
1636,1429
1636,3914
1636,1428
1636,3225
1636,2833
1636,2526
1636,3453
1636,2414
1636,1070
1636,3824
1636,1012
1636,3890
1636,2416
1636,3825
1636,3826
1636,4023
1636,2344
1636,2155
1636,4054
1636,4055
1636,1324
1636,2157
1636,775
1636,3828
1636,2041
1636,3573
1636,3057
1636,593
1636,592
1636,591
1636,590
1636,589
1636,588
1636,587
1636,586
1636,584
1636,585
1636,3572
1636,1321
1636,158
1636,288
1636,1391
1636,1614
1636,4063
1636,4062
1636,3868
951,1840
951,1174
951,430
951,3823
951,704
951,2115
951,4067
951,1586
951,1547
951,1241
951,1636
951,2007
951,1898
951,3144
951,159
951,197
951,240
951,3394
951,2325
951,2413
951,4121
951,3817
951,4125
951,4126
951,4127
951,4122
951,4123
951,4124
951,4128
951,4129
951,4130
951,4131
951,4311
951,1037
951,1424
951,768
951,18
951,3909
951,3910
951,3911
951,3912
951,3913
951,1429
951,3914
951,1428
951,3225
951,2833
951,2526
951,3453
951,2414
