node,child
2281,4568
2281,2008
2281,2748
4568,3797
4568,2008
4568,2748
2008,3797
2008,2281
2008,4568
2008,2748
2748,3797
2748,2281
2748,4568
2748,2008
2009,712
4549,2740
4549,2673
2740,2673
2673,4549
1863,727
5780,1607
1607,4185
3694,5605
2012,3045
2623,4924
3652,4779
5474,5845
3777,4188
559,2013
120,1312
1602,5127
2014,4612
2014,168
4612,168
168,2014
495,2718
4925,5673
4925,2735
5204,4245
3039,3772
2250,4139
707,4927
707,5710
707,4679
4927,5710
4927,4679
5710,707
5710,4679
4679,707
4679,4927
4679,5710
3966,1431
4186,2162
4186,4928
4186,1302
2162,4928
2162,1302
4928,4186
4928,1302
1302,4186
1302,2162
1302,4928
5796,5468
1413,3926
793,1217
5524,3280
1244,3365
1244,5798
3365,5798
5798,1244
4931,1770
658,942
658,2016
942,2016
2016,658
4932,2017
4932,722
2017,722
722,4932
3177,3433
3177,5252
3177,5397
3433,5397
5252,3177
5252,5397
5397,3177
5397,5252
5699,2560
2019,4934
2183,3035
2205,4008
2205,1476
2205,1762
2205,1808
2205,4712
2206,6057
2816,2426
4481,3681
3999,1467
1476,1762
1476,1808
1476,4712
1762,4008
1762,2205
1762,1808
1762,4712
1808,4008
1808,2205
1808,1476
1808,4712
4712,4008
4712,2205
4712,1476
4712,1762
4712,1808
4051,5612
1248,4507
2566,3910
2566,5419
3910,5419
5419,2566
2972,943
2972,5326
2972,3644
943,5326
943,3644
5326,2972
5326,3644
3644,2972
3644,943
3644,5326
2993,3369
2993,2253
2993,1854
2993,2022
2993,62
2993,4510
2993,3712
3369,2253
3369,1854
3369,2022
3369,62
3369,4510
3369,3712
2253,2993
2253,1854
2253,2022
2253,62
2253,4510
2253,3712
1854,2993
1854,3369
1854,2253
1854,2022
1854,62
1854,4510
1854,3712
2022,2993
2022,3369
2022,2253
2022,1854
2022,62
2022,4510
2022,3712
62,2993
62,3369
62,2253
62,1854
62,2022
62,4510
62,3712
4510,2993
4510,3369
4510,2253
4510,1854
4510,2022
4510,62
4510,3712
3712,2993
3712,3369
3712,2253
3712,1854
3712,2022
3712,62
3712,4510
361,4532
361,1271
361,6095
4532,1271
4532,6095
1271,361
1271,6095
4313,1781
2754,1813
2754,1344
1813,3848
1813,1344
1344,3848
1344,2754
944,1253
319,1635
319,3731
1635,3731
3731,319
1647,4177
6095,361
6095,4532
1908,6031
2520,2625
2318,5217
2318,4265
5217,4265
4265,2318
946,4938
946,2023
946,571
4938,946
4938,2023
4938,571
2023,571
571,946
571,4938
3659,2469
410,472
4317,1520
4317,4758
1520,4758
4758,4317
2024,572
2024,2536
2024,5475
2024,4940
2024,3752
572,2024
572,2536
2536,572
2536,5475
2536,4940
2536,3752
5475,2024
4940,2024
4940,2536
4940,3752
3752,2024
3752,2536
3752,4940
3023,1279
3023,1883
1279,1883
1883,3023
1675,4202
4206,1678
4206,1333
1678,1333
1333,4206
5943,1573
3400,3313
5572,636
5516,3353
5516,5520
5516,5518
5516,5515
5516,1203
3353,5516
3353,5520
3353,5518
3353,5515
3353,1203
5520,3353
5520,5518
5520,5515
5520,1203
5518,5516
5518,3353
5518,5515
5518,1203
5515,5516
5515,3353
5515,5520
5515,5518
5515,1203
1203,5516
1203,3353
1203,5520
1203,5518
1203,5515
5421,2154
1843,286
1843,3217
1843,3187
286,3217
286,3187
3217,1843
3217,286
3217,3187
3187,1843
3187,3217
4473,2026
297,6086
14,783
4695,3155
3155,3984
5588,3733
5588,4942
3733,4942
4942,5588
5551,3738
1604,2238
1604,5129
1604,2414
1604,4121
2238,3674
2238,5129
2238,2414
2238,4121
5129,3674
5129,1604
5129,2238
5129,2414
5129,4121
2414,3674
2414,1604
2414,5129
2414,4121
4121,3674
4121,1604
4121,2238
4121,5129
4121,2414
4943,1872
4943,4489
1872,5664
1872,4489
4489,5664
4489,4943
5232,3972
5232,1858
3972,1858
1858,5232
4268,2436
4944,241
3927,4656
2793,3180
2793,1502
3180,1502
1502,2793
4948,2571
2031,5245
4359,1421
2254,3715
2674,4591
4945,2626
5126,4118
5805,2995
5805,1884
2995,1884
1884,5805
949,2628
5860,3771
5860,1658
3771,1658
1658,5860
3048,461
3048,1317
4946,950
4221,1694
1873,4647
2184,1499
2184,1777
5423,1562
5423,5224
1562,5423
1562,5224
3165,6049
552,4150
552,5138
552,1625
4150,5138
4150,1625
136,3060
5138,552
5138,1625
1625,552
1625,4150
1625,5138
5501,951
951,5240
5576,2444
5576,2589
5576,4949
5576,952
5576,4012
2444,2589
2444,4949
2444,952
2444,4012
2589,5576
2589,4949
2589,952
2589,4012
4949,5576
4949,2444
4949,2589
4949,952
4949,4012
952,5576
952,2444
952,2589
952,4949
952,4012
4012,5576
4012,2444
4012,2589
4012,4949
4012,952
5544,4950
5544,5592
5544,3274
5544,3639
4950,5592
4950,3274
4950,3639
5592,5544
5592,3274
5592,3639
3274,5544
3274,4950
3274,5592
3274,3639
3639,5544
3639,4950
3639,5592
3639,3274
4104,5122
5555,4952
3773,1300
6088,777
6088,1533
777,1533
1533,6088
1213,4953
627,2676
2033,126
2579,3968
2579,709
3968,709
709,2579
5424,4181
4596,4954
1499,1777
1777,2184
713,2582
1584,2971
3696,4955
3696,955
4955,955
955,3696
3336,754
5565,4639
5565,471
4639,471
471,5565
956,4956
109,2461
3052,5884
3438,6067
2207,1183
2207,3621
2207,1580
2207,1827
1905,3404
1905,958
1905,4957
3404,958
3404,4957
958,1905
958,4957
4957,1905
4957,3404
4957,958
2449,2807
2449,1943
2449,2297
2449,149
2449,3856
1183,3621
1183,1580
1183,1827
3621,2207
3621,1580
3621,1827
1580,2207
1580,1183
1580,1827
1827,2207
1827,1183
1827,3621
1827,1580
2259,4529
2259,2817
2259,2736
2259,2034
2259,1809
4529,2817
4529,2736
4529,2034
4529,1809
2817,2259
2817,2736
2817,2034
2817,1809
2736,2259
2736,4529
2736,2817
2736,2034
2736,1809
2034,2259
2034,4529
